"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"09/02/2017 23:00 - 10/02/2017 00:00","BZN|SE4","3635.00","3578.00"
"10/02/2017 00:00 - 10/02/2017 01:00","BZN|SE4","3493.00","3429.00"
"10/02/2017 01:00 - 10/02/2017 02:00","BZN|SE4","3420.00","3365.00"
"10/02/2017 02:00 - 10/02/2017 03:00","BZN|SE4","3399.00","3329.00"
"10/02/2017 03:00 - 10/02/2017 04:00","BZN|SE4","3423.00","3330.00"
"10/02/2017 04:00 - 10/02/2017 05:00","BZN|SE4","3443.00","3368.00"
"10/02/2017 05:00 - 10/02/2017 06:00","BZN|SE4","3602.00","3624.00"
"10/02/2017 06:00 - 10/02/2017 07:00","BZN|SE4","4019.00","4016.00"
"10/02/2017 07:00 - 10/02/2017 08:00","BZN|SE4","4455.00","4380.00"
"10/02/2017 08:00 - 10/02/2017 09:00","BZN|SE4","4466.00","4668.00"
"10/02/2017 09:00 - 10/02/2017 10:00","BZN|SE4","4546.00","4657.00"
"10/02/2017 10:00 - 10/02/2017 11:00","BZN|SE4","4488.00","4430.00"
"10/02/2017 11:00 - 10/02/2017 12:00","BZN|SE4","4474.00","4374.00"
"10/02/2017 12:00 - 10/02/2017 13:00","BZN|SE4","4324.00","4271.00"
"10/02/2017 13:00 - 10/02/2017 14:00","BZN|SE4","4256.00","4169.00"
"10/02/2017 14:00 - 10/02/2017 15:00","BZN|SE4","4132.00","4112.00"
"10/02/2017 15:00 - 10/02/2017 16:00","BZN|SE4","4013.00","4082.00"
"10/02/2017 16:00 - 10/02/2017 17:00","BZN|SE4","3921.00","4091.00"
"10/02/2017 17:00 - 10/02/2017 18:00","BZN|SE4","4069.00","4259.00"
"10/02/2017 18:00 - 10/02/2017 19:00","BZN|SE4","4031.00","4230.00"
"10/02/2017 19:00 - 10/02/2017 20:00","BZN|SE4","3818.00","4092.00"
"10/02/2017 20:00 - 10/02/2017 21:00","BZN|SE4","3629.00","3914.00"
"10/02/2017 21:00 - 10/02/2017 22:00","BZN|SE4","3499.00","3663.00"
"10/02/2017 22:00 - 10/02/2017 23:00","BZN|SE4","3329.00","3512.00"
"10/02/2017 23:00 - 11/02/2017 00:00","BZN|SE4","3203.00","3356.00"
"11/02/2017 00:00 - 11/02/2017 01:00","BZN|SE4","3054.00","3213.00"
"11/02/2017 01:00 - 11/02/2017 02:00","BZN|SE4","2992.00","3155.00"
"11/02/2017 02:00 - 11/02/2017 03:00","BZN|SE4","2991.00","3126.00"
"11/02/2017 03:00 - 11/02/2017 04:00","BZN|SE4","3004.00","3127.00"
"11/02/2017 04:00 - 11/02/2017 05:00","BZN|SE4","2983.00","3152.00"
"11/02/2017 05:00 - 11/02/2017 06:00","BZN|SE4","3043.00","3218.00"
"11/02/2017 06:00 - 11/02/2017 07:00","BZN|SE4","3169.00","3336.00"
"11/02/2017 07:00 - 11/02/2017 08:00","BZN|SE4","3273.00","3477.00"
"11/02/2017 08:00 - 11/02/2017 09:00","BZN|SE4","3434.00","3616.00"
"11/02/2017 09:00 - 11/02/2017 10:00","BZN|SE4","3585.00","3752.00"
"11/02/2017 10:00 - 11/02/2017 11:00","BZN|SE4","3603.00","3788.00"
"11/02/2017 11:00 - 11/02/2017 12:00","BZN|SE4","3615.00","3746.00"
"11/02/2017 12:00 - 11/02/2017 13:00","BZN|SE4","3569.00","3686.00"
"11/02/2017 13:00 - 11/02/2017 14:00","BZN|SE4","3512.00","3626.00"
"11/02/2017 14:00 - 11/02/2017 15:00","BZN|SE4","3379.00","3602.00"
"11/02/2017 15:00 - 11/02/2017 16:00","BZN|SE4","3372.00","3586.00"
"11/02/2017 16:00 - 11/02/2017 17:00","BZN|SE4","3497.00","3689.00"
"11/02/2017 17:00 - 11/02/2017 18:00","BZN|SE4","3717.00","3931.00"
"11/02/2017 18:00 - 11/02/2017 19:00","BZN|SE4","3742.00","3943.00"
"11/02/2017 19:00 - 11/02/2017 20:00","BZN|SE4","3609.00","3844.00"
"11/02/2017 20:00 - 11/02/2017 21:00","BZN|SE4","3439.00","3694.00"
"11/02/2017 21:00 - 11/02/2017 22:00","BZN|SE4","3323.00","3555.00"
"11/02/2017 22:00 - 11/02/2017 23:00","BZN|SE4","3157.00","3427.00"
"11/02/2017 23:00 - 12/02/2017 00:00","BZN|SE4","3054.00","3293.00"
"12/02/2017 00:00 - 12/02/2017 01:00","BZN|SE4","2940.00","3198.00"
"12/02/2017 01:00 - 12/02/2017 02:00","BZN|SE4","2819.00","3137.00"
"12/02/2017 02:00 - 12/02/2017 03:00","BZN|SE4","2758.00","3108.00"
"12/02/2017 03:00 - 12/02/2017 04:00","BZN|SE4","2754.00","3091.00"
"12/02/2017 04:00 - 12/02/2017 05:00","BZN|SE4","2757.00","3100.00"
"12/02/2017 05:00 - 12/02/2017 06:00","BZN|SE4","2871.00","3136.00"
"12/02/2017 06:00 - 12/02/2017 07:00","BZN|SE4","2989.00","3228.00"
"12/02/2017 07:00 - 12/02/2017 08:00","BZN|SE4","3124.00","3314.00"
"12/02/2017 08:00 - 12/02/2017 09:00","BZN|SE4","3190.00","3416.00"
"12/02/2017 09:00 - 12/02/2017 10:00","BZN|SE4","3317.00","3540.00"
"12/02/2017 10:00 - 12/02/2017 11:00","BZN|SE4","3383.00","3606.00"
"12/02/2017 11:00 - 12/02/2017 12:00","BZN|SE4","3378.00","3639.00"
"12/02/2017 12:00 - 12/02/2017 13:00","BZN|SE4","3356.00","3633.00"
"12/02/2017 13:00 - 12/02/2017 14:00","BZN|SE4","3306.00","3581.00"
"12/02/2017 14:00 - 12/02/2017 15:00","BZN|SE4","3354.00","3538.00"
"12/02/2017 15:00 - 12/02/2017 16:00","BZN|SE4","3420.00","3544.00"
"12/02/2017 16:00 - 12/02/2017 17:00","BZN|SE4","3573.00","3651.00"
"12/02/2017 17:00 - 12/02/2017 18:00","BZN|SE4","3832.00","3900.00"
"12/02/2017 18:00 - 12/02/2017 19:00","BZN|SE4","3956.00","3989.00"
"12/02/2017 19:00 - 12/02/2017 20:00","BZN|SE4","3891.00","3955.00"
"12/02/2017 20:00 - 12/02/2017 21:00","BZN|SE4","3788.00","3847.00"
"12/02/2017 21:00 - 12/02/2017 22:00","BZN|SE4","3659.00","3709.00"
"12/02/2017 22:00 - 12/02/2017 23:00","BZN|SE4","3505.00","3563.00"
"12/02/2017 23:00 - 13/02/2017 00:00","BZN|SE4","3333.00","3423.00"
"13/02/2017 00:00 - 13/02/2017 01:00","BZN|SE4","3244.00","3220.00"
"13/02/2017 01:00 - 13/02/2017 02:00","BZN|SE4","3187.00","3187.00"
"13/02/2017 02:00 - 13/02/2017 03:00","BZN|SE4","3231.00","3192.00"
"13/02/2017 03:00 - 13/02/2017 04:00","BZN|SE4","3248.00","3220.00"
"13/02/2017 04:00 - 13/02/2017 05:00","BZN|SE4","3282.00","3286.00"
"13/02/2017 05:00 - 13/02/2017 06:00","BZN|SE4","3470.00","3484.00"
"13/02/2017 06:00 - 13/02/2017 07:00","BZN|SE4","3978.00","3940.00"
"13/02/2017 07:00 - 13/02/2017 08:00","BZN|SE4","4344.00","4345.00"
"13/02/2017 08:00 - 13/02/2017 09:00","BZN|SE4","4379.00","4435.00"
"13/02/2017 09:00 - 13/02/2017 10:00","BZN|SE4","4320.00","4402.00"
"13/02/2017 10:00 - 13/02/2017 11:00","BZN|SE4","4308.00","4390.00"
"13/02/2017 11:00 - 13/02/2017 12:00","BZN|SE4","4222.00","4300.00"
"13/02/2017 12:00 - 13/02/2017 13:00","BZN|SE4","4146.00","4176.00"
"13/02/2017 13:00 - 13/02/2017 14:00","BZN|SE4","4078.00","4119.00"
"13/02/2017 14:00 - 13/02/2017 15:00","BZN|SE4","4023.00","4066.00"
"13/02/2017 15:00 - 13/02/2017 16:00","BZN|SE4","4010.00","4056.00"
"13/02/2017 16:00 - 13/02/2017 17:00","BZN|SE4","3995.00","4055.00"
"13/02/2017 17:00 - 13/02/2017 18:00","BZN|SE4","4155.00","4259.00"
"13/02/2017 18:00 - 13/02/2017 19:00","BZN|SE4","4172.00","4289.00"
"13/02/2017 19:00 - 13/02/2017 20:00","BZN|SE4","4083.00","4220.00"
"13/02/2017 20:00 - 13/02/2017 21:00","BZN|SE4","3946.00","4077.00"
"13/02/2017 21:00 - 13/02/2017 22:00","BZN|SE4","3778.00","3895.00"
"13/02/2017 22:00 - 13/02/2017 23:00","BZN|SE4","3564.00","3673.00"
"13/02/2017 23:00 - 14/02/2017 00:00","BZN|SE4","3389.00","3444.00"
"14/02/2017 00:00 - 14/02/2017 01:00","BZN|SE4","3254.00","3205.00"
"14/02/2017 01:00 - 14/02/2017 02:00","BZN|SE4","3192.00","3148.00"
"14/02/2017 02:00 - 14/02/2017 03:00","BZN|SE4","3146.00","3127.00"
"14/02/2017 03:00 - 14/02/2017 04:00","BZN|SE4","3228.00","3142.00"
"14/02/2017 04:00 - 14/02/2017 05:00","BZN|SE4","3279.00","3199.00"
"14/02/2017 05:00 - 14/02/2017 06:00","BZN|SE4","3476.00","3384.00"
"14/02/2017 06:00 - 14/02/2017 07:00","BZN|SE4","3937.00","3828.00"
"14/02/2017 07:00 - 14/02/2017 08:00","BZN|SE4","4227.00","4229.00"
"14/02/2017 08:00 - 14/02/2017 09:00","BZN|SE4","4261.00","4316.00"
"14/02/2017 09:00 - 14/02/2017 10:00","BZN|SE4","4187.00","4274.00"
"14/02/2017 10:00 - 14/02/2017 11:00","BZN|SE4","4177.00","4234.00"
"14/02/2017 11:00 - 14/02/2017 12:00","BZN|SE4","4064.00","4123.00"
"14/02/2017 12:00 - 14/02/2017 13:00","BZN|SE4","3904.00","3972.00"
"14/02/2017 13:00 - 14/02/2017 14:00","BZN|SE4","3799.00","3897.00"
"14/02/2017 14:00 - 14/02/2017 15:00","BZN|SE4","3705.00","3831.00"
"14/02/2017 15:00 - 14/02/2017 16:00","BZN|SE4","3684.00","3824.00"
"14/02/2017 16:00 - 14/02/2017 17:00","BZN|SE4","3683.00","3817.00"
"14/02/2017 17:00 - 14/02/2017 18:00","BZN|SE4","4002.00","4048.00"
"14/02/2017 18:00 - 14/02/2017 19:00","BZN|SE4","4084.00","4113.00"
"14/02/2017 19:00 - 14/02/2017 20:00","BZN|SE4","4013.00","4070.00"
"14/02/2017 20:00 - 14/02/2017 21:00","BZN|SE4","3887.00","3928.00"
"14/02/2017 21:00 - 14/02/2017 22:00","BZN|SE4","3729.00","3742.00"
"14/02/2017 22:00 - 14/02/2017 23:00","BZN|SE4","3499.00","3519.00"
"14/02/2017 23:00 - 15/02/2017 00:00","BZN|SE4","3339.00","3283.00"
"15/02/2017 00:00 - 15/02/2017 01:00","BZN|SE4","3168.00","3134.00"
"15/02/2017 01:00 - 15/02/2017 02:00","BZN|SE4","3132.00","3081.00"
"15/02/2017 02:00 - 15/02/2017 03:00","BZN|SE4","3125.00","3061.00"
"15/02/2017 03:00 - 15/02/2017 04:00","BZN|SE4","3160.00","3071.00"
"15/02/2017 04:00 - 15/02/2017 05:00","BZN|SE4","3261.00","3127.00"
"15/02/2017 05:00 - 15/02/2017 06:00","BZN|SE4","3431.00","3316.00"
"15/02/2017 06:00 - 15/02/2017 07:00","BZN|SE4","3931.00","3765.00"
"15/02/2017 07:00 - 15/02/2017 08:00","BZN|SE4","4202.00","4178.00"
"15/02/2017 08:00 - 15/02/2017 09:00","BZN|SE4","4200.00","4273.00"
"15/02/2017 09:00 - 15/02/2017 10:00","BZN|SE4","4071.00","4240.00"
"15/02/2017 10:00 - 15/02/2017 11:00","BZN|SE4","3974.00","4209.00"
"15/02/2017 11:00 - 15/02/2017 12:00","BZN|SE4","3838.00","4097.00"
"15/02/2017 12:00 - 15/02/2017 13:00","BZN|SE4","3731.00","3943.00"
"15/02/2017 13:00 - 15/02/2017 14:00","BZN|SE4","3661.00","3868.00"
"15/02/2017 14:00 - 15/02/2017 15:00","BZN|SE4","3661.00","3806.00"
"15/02/2017 15:00 - 15/02/2017 16:00","BZN|SE4","3567.00","3800.00"
"15/02/2017 16:00 - 15/02/2017 17:00","BZN|SE4","3607.00","3794.00"
"15/02/2017 17:00 - 15/02/2017 18:00","BZN|SE4","3858.00","4020.00"
"15/02/2017 18:00 - 15/02/2017 19:00","BZN|SE4","3861.00","4100.00"
"15/02/2017 19:00 - 15/02/2017 20:00","BZN|SE4","3754.00","4062.00"
"15/02/2017 20:00 - 15/02/2017 21:00","BZN|SE4","3598.00","3930.00"
"15/02/2017 21:00 - 15/02/2017 22:00","BZN|SE4","3442.00","3747.00"
"15/02/2017 22:00 - 15/02/2017 23:00","BZN|SE4","3224.00","3527.00"
"15/02/2017 23:00 - 16/02/2017 00:00","BZN|SE4","3090.00","3293.00"
"16/02/2017 00:00 - 16/02/2017 01:00","BZN|SE4","3076.00","3095.00"
"16/02/2017 01:00 - 16/02/2017 02:00","BZN|SE4","3110.00","3039.00"
"16/02/2017 02:00 - 16/02/2017 03:00","BZN|SE4","3109.00","3017.00"
"16/02/2017 03:00 - 16/02/2017 04:00","BZN|SE4","3107.00","3031.00"
"16/02/2017 04:00 - 16/02/2017 05:00","BZN|SE4","3234.00","3080.00"
"16/02/2017 05:00 - 16/02/2017 06:00","BZN|SE4","3463.00","3256.00"
"16/02/2017 06:00 - 16/02/2017 07:00","BZN|SE4","3860.00","3686.00"
"16/02/2017 07:00 - 16/02/2017 08:00","BZN|SE4","4128.00","4067.00"
"16/02/2017 08:00 - 16/02/2017 09:00","BZN|SE4","4105.00","4147.00"
"16/02/2017 09:00 - 16/02/2017 10:00","BZN|SE4","3980.00","4099.00"
"16/02/2017 10:00 - 16/02/2017 11:00","BZN|SE4","3998.00","4079.00"
"16/02/2017 11:00 - 16/02/2017 12:00","BZN|SE4","3948.00","3995.00"
"16/02/2017 12:00 - 16/02/2017 13:00","BZN|SE4","3711.00","3908.00"
"16/02/2017 13:00 - 16/02/2017 14:00","BZN|SE4","3695.00","3875.00"
"16/02/2017 14:00 - 16/02/2017 15:00","BZN|SE4","3693.00","3857.00"
"16/02/2017 15:00 - 16/02/2017 16:00","BZN|SE4","3786.00","3856.00"
"16/02/2017 16:00 - 16/02/2017 17:00","BZN|SE4","3794.00","3824.00"
"16/02/2017 17:00 - 16/02/2017 18:00","BZN|SE4","3926.00","3996.00"
"16/02/2017 18:00 - 16/02/2017 19:00","BZN|SE4","3828.00","4010.00"
"16/02/2017 19:00 - 16/02/2017 20:00","BZN|SE4","3741.00","3908.00"
"16/02/2017 20:00 - 16/02/2017 21:00","BZN|SE4","3636.00","3747.00"
"16/02/2017 21:00 - 16/02/2017 22:00","BZN|SE4","3437.00","3544.00"
"16/02/2017 22:00 - 16/02/2017 23:00","BZN|SE4","3157.00","3307.00"
"16/02/2017 23:00 - 17/02/2017 00:00","BZN|SE4","2920.00","3059.00"
"17/02/2017 00:00 - 17/02/2017 01:00","BZN|SE4","2868.00","2928.00"
"17/02/2017 01:00 - 17/02/2017 02:00","BZN|SE4","2867.00","2859.00"
"17/02/2017 02:00 - 17/02/2017 03:00","BZN|SE4","2802.00","2831.00"
"17/02/2017 03:00 - 17/02/2017 04:00","BZN|SE4","2808.00","2845.00"
"17/02/2017 04:00 - 17/02/2017 05:00","BZN|SE4","2887.00","2900.00"
"17/02/2017 05:00 - 17/02/2017 06:00","BZN|SE4","3058.00","3074.00"
"17/02/2017 06:00 - 17/02/2017 07:00","BZN|SE4","3468.00","3493.00"
"17/02/2017 07:00 - 17/02/2017 08:00","BZN|SE4","3853.00","3868.00"
"17/02/2017 08:00 - 17/02/2017 09:00","BZN|SE4","3951.00","3976.00"
"17/02/2017 09:00 - 17/02/2017 10:00","BZN|SE4","3960.00","3974.00"
"17/02/2017 10:00 - 17/02/2017 11:00","BZN|SE4","3967.00","3981.00"
"17/02/2017 11:00 - 17/02/2017 12:00","BZN|SE4","3927.00","3944.00"
"17/02/2017 12:00 - 17/02/2017 13:00","BZN|SE4","3880.00","3863.00"
"17/02/2017 13:00 - 17/02/2017 14:00","BZN|SE4","3807.00","3786.00"
"17/02/2017 14:00 - 17/02/2017 15:00","BZN|SE4","3717.00","3690.00"
"17/02/2017 15:00 - 17/02/2017 16:00","BZN|SE4","3647.00","3625.00"
"17/02/2017 16:00 - 17/02/2017 17:00","BZN|SE4","3601.00","3595.00"
"17/02/2017 17:00 - 17/02/2017 18:00","BZN|SE4","3762.00","3748.00"
"17/02/2017 18:00 - 17/02/2017 19:00","BZN|SE4","3728.00","3760.00"
"17/02/2017 19:00 - 17/02/2017 20:00","BZN|SE4","3490.00","3624.00"
"17/02/2017 20:00 - 17/02/2017 21:00","BZN|SE4","3348.00","3431.00"
"17/02/2017 21:00 - 17/02/2017 22:00","BZN|SE4","3178.00","3256.00"
"17/02/2017 22:00 - 17/02/2017 23:00","BZN|SE4","3005.00","3098.00"
"17/02/2017 23:00 - 18/02/2017 00:00","BZN|SE4","2925.00","2942.00"
"18/02/2017 00:00 - 18/02/2017 01:00","BZN|SE4","2756.00","2845.00"
"18/02/2017 01:00 - 18/02/2017 02:00","BZN|SE4","2695.00","2785.00"
"18/02/2017 02:00 - 18/02/2017 03:00","BZN|SE4","2676.00","2763.00"
"18/02/2017 03:00 - 18/02/2017 04:00","BZN|SE4","2674.00","2767.00"
"18/02/2017 04:00 - 18/02/2017 05:00","BZN|SE4","2688.00","2797.00"
"18/02/2017 05:00 - 18/02/2017 06:00","BZN|SE4","2752.00","2848.00"
"18/02/2017 06:00 - 18/02/2017 07:00","BZN|SE4","2903.00","2956.00"
"18/02/2017 07:00 - 18/02/2017 08:00","BZN|SE4","3056.00","3072.00"
"18/02/2017 08:00 - 18/02/2017 09:00","BZN|SE4","3232.00","3219.00"
"18/02/2017 09:00 - 18/02/2017 10:00","BZN|SE4","3426.00","3359.00"
"18/02/2017 10:00 - 18/02/2017 11:00","BZN|SE4","3507.00","3428.00"
"18/02/2017 11:00 - 18/02/2017 12:00","BZN|SE4","3502.00","3399.00"
"18/02/2017 12:00 - 18/02/2017 13:00","BZN|SE4","3431.00","3354.00"
"18/02/2017 13:00 - 18/02/2017 14:00","BZN|SE4","3381.00","3266.00"
"18/02/2017 14:00 - 18/02/2017 15:00","BZN|SE4","3308.00","3207.00"
"18/02/2017 15:00 - 18/02/2017 16:00","BZN|SE4","3235.00","3193.00"
"18/02/2017 16:00 - 18/02/2017 17:00","BZN|SE4","3211.00","3261.00"
"18/02/2017 17:00 - 18/02/2017 18:00","BZN|SE4","3422.00","3494.00"
"18/02/2017 18:00 - 18/02/2017 19:00","BZN|SE4","3555.00","3558.00"
"18/02/2017 19:00 - 18/02/2017 20:00","BZN|SE4","3406.00","3469.00"
"18/02/2017 20:00 - 18/02/2017 21:00","BZN|SE4","3280.00","3327.00"
"18/02/2017 21:00 - 18/02/2017 22:00","BZN|SE4","3079.00","3189.00"
"18/02/2017 22:00 - 18/02/2017 23:00","BZN|SE4","2915.00","3068.00"
"18/02/2017 23:00 - 19/02/2017 00:00","BZN|SE4","2850.00","2935.00"
"19/02/2017 00:00 - 19/02/2017 01:00","BZN|SE4","2698.00","2794.00"
"19/02/2017 01:00 - 19/02/2017 02:00","BZN|SE4","2654.00","2720.00"
"19/02/2017 02:00 - 19/02/2017 03:00","BZN|SE4","2635.00","2679.00"
"19/02/2017 03:00 - 19/02/2017 04:00","BZN|SE4","2637.00","2661.00"
"19/02/2017 04:00 - 19/02/2017 05:00","BZN|SE4","2704.00","2677.00"
"19/02/2017 05:00 - 19/02/2017 06:00","BZN|SE4","2765.00","2712.00"
"19/02/2017 06:00 - 19/02/2017 07:00","BZN|SE4","2851.00","2801.00"
"19/02/2017 07:00 - 19/02/2017 08:00","BZN|SE4","2903.00","2870.00"
"19/02/2017 08:00 - 19/02/2017 09:00","BZN|SE4","2995.00","2978.00"
"19/02/2017 09:00 - 19/02/2017 10:00","BZN|SE4","3101.00","3101.00"
"19/02/2017 10:00 - 19/02/2017 11:00","BZN|SE4","3194.00","3185.00"
"19/02/2017 11:00 - 19/02/2017 12:00","BZN|SE4","3242.00","3228.00"
"19/02/2017 12:00 - 19/02/2017 13:00","BZN|SE4","3299.00","3229.00"
"19/02/2017 13:00 - 19/02/2017 14:00","BZN|SE4","3286.00","3200.00"
"19/02/2017 14:00 - 19/02/2017 15:00","BZN|SE4","3248.00","3166.00"
"19/02/2017 15:00 - 19/02/2017 16:00","BZN|SE4","3240.00","3158.00"
"19/02/2017 16:00 - 19/02/2017 17:00","BZN|SE4","3197.00","3209.00"
"19/02/2017 17:00 - 19/02/2017 18:00","BZN|SE4","3284.00","3397.00"
"19/02/2017 18:00 - 19/02/2017 19:00","BZN|SE4","3328.00","3505.00"
"19/02/2017 19:00 - 19/02/2017 20:00","BZN|SE4","3270.00","3446.00"
"19/02/2017 20:00 - 19/02/2017 21:00","BZN|SE4","3115.00","3325.00"
"19/02/2017 21:00 - 19/02/2017 22:00","BZN|SE4","3006.00","3176.00"
"19/02/2017 22:00 - 19/02/2017 23:00","BZN|SE4","2845.00","3024.00"
"19/02/2017 23:00 - 20/02/2017 00:00","BZN|SE4","2685.00","2881.00"
"20/02/2017 00:00 - 20/02/2017 01:00","BZN|SE4","2575.00","2779.00"
"20/02/2017 01:00 - 20/02/2017 02:00","BZN|SE4","2518.00","2738.00"
"20/02/2017 02:00 - 20/02/2017 03:00","BZN|SE4","2498.00","2721.00"
"20/02/2017 03:00 - 20/02/2017 04:00","BZN|SE4","2555.00","2745.00"
"20/02/2017 04:00 - 20/02/2017 05:00","BZN|SE4","2637.00","2801.00"
"20/02/2017 05:00 - 20/02/2017 06:00","BZN|SE4","2737.00","2981.00"
"20/02/2017 06:00 - 20/02/2017 07:00","BZN|SE4","3136.00","3398.00"
"20/02/2017 07:00 - 20/02/2017 08:00","BZN|SE4","3481.00","3755.00"
"20/02/2017 08:00 - 20/02/2017 09:00","BZN|SE4","3558.00","3867.00"
"20/02/2017 09:00 - 20/02/2017 10:00","BZN|SE4","3617.00","3869.00"
"20/02/2017 10:00 - 20/02/2017 11:00","BZN|SE4","3721.00","3885.00"
"20/02/2017 11:00 - 20/02/2017 12:00","BZN|SE4","3777.00","3864.00"
"20/02/2017 12:00 - 20/02/2017 13:00","BZN|SE4","3728.00","3799.00"
"20/02/2017 13:00 - 20/02/2017 14:00","BZN|SE4","3736.00","3774.00"
"20/02/2017 14:00 - 20/02/2017 15:00","BZN|SE4","3673.00","3731.00"
"20/02/2017 15:00 - 20/02/2017 16:00","BZN|SE4","3735.00","3719.00"
"20/02/2017 16:00 - 20/02/2017 17:00","BZN|SE4","3753.00","3669.00"
"20/02/2017 17:00 - 20/02/2017 18:00","BZN|SE4","3826.00","3793.00"
"20/02/2017 18:00 - 20/02/2017 19:00","BZN|SE4","3730.00","3827.00"
"20/02/2017 19:00 - 20/02/2017 20:00","BZN|SE4","3620.00","3740.00"
"20/02/2017 20:00 - 20/02/2017 21:00","BZN|SE4","3474.00","3599.00"
"20/02/2017 21:00 - 20/02/2017 22:00","BZN|SE4","3253.00","3416.00"
"20/02/2017 22:00 - 20/02/2017 23:00","BZN|SE4","3029.00","3195.00"
"20/02/2017 23:00 - 21/02/2017 00:00","BZN|SE4","2897.00","2963.00"
"21/02/2017 00:00 - 21/02/2017 01:00","BZN|SE4","2758.00","2835.00"
"21/02/2017 01:00 - 21/02/2017 02:00","BZN|SE4","2696.00","2779.00"
"21/02/2017 02:00 - 21/02/2017 03:00","BZN|SE4","2683.00","2766.00"
"21/02/2017 03:00 - 21/02/2017 04:00","BZN|SE4","2696.00","2789.00"
"21/02/2017 04:00 - 21/02/2017 05:00","BZN|SE4","2744.00","2846.00"
"21/02/2017 05:00 - 21/02/2017 06:00","BZN|SE4","2912.00","3024.00"
"21/02/2017 06:00 - 21/02/2017 07:00","BZN|SE4","3281.00","3422.00"
"21/02/2017 07:00 - 21/02/2017 08:00","BZN|SE4","3595.00","3788.00"
"21/02/2017 08:00 - 21/02/2017 09:00","BZN|SE4","3726.00","3882.00"
"21/02/2017 09:00 - 21/02/2017 10:00","BZN|SE4","3706.00","3861.00"
"21/02/2017 10:00 - 21/02/2017 11:00","BZN|SE4","3694.00","3873.00"
"21/02/2017 11:00 - 21/02/2017 12:00","BZN|SE4","3681.00","3830.00"
"21/02/2017 12:00 - 21/02/2017 13:00","BZN|SE4","3634.00","3775.00"
"21/02/2017 13:00 - 21/02/2017 14:00","BZN|SE4","3610.00","3766.00"
"21/02/2017 14:00 - 21/02/2017 15:00","BZN|SE4","3495.00","3726.00"
"21/02/2017 15:00 - 21/02/2017 16:00","BZN|SE4","3469.00","3739.00"
"21/02/2017 16:00 - 21/02/2017 17:00","BZN|SE4","3518.00","3706.00"
"21/02/2017 17:00 - 21/02/2017 18:00","BZN|SE4","3772.00","3853.00"
"21/02/2017 18:00 - 21/02/2017 19:00","BZN|SE4","3876.00","3922.00"
"21/02/2017 19:00 - 21/02/2017 20:00","BZN|SE4","3758.00","3858.00"
"21/02/2017 20:00 - 21/02/2017 21:00","BZN|SE4","3594.00","3722.00"
"21/02/2017 21:00 - 21/02/2017 22:00","BZN|SE4","3399.00","3555.00"
"21/02/2017 22:00 - 21/02/2017 23:00","BZN|SE4","3159.00","3350.00"
"21/02/2017 23:00 - 22/02/2017 00:00","BZN|SE4","2858.00","3133.00"
"22/02/2017 00:00 - 22/02/2017 01:00","BZN|SE4","2714.00","2967.00"
"22/02/2017 01:00 - 22/02/2017 02:00","BZN|SE4","2624.00","2912.00"
"22/02/2017 02:00 - 22/02/2017 03:00","BZN|SE4","2645.00","2885.00"
"22/02/2017 03:00 - 22/02/2017 04:00","BZN|SE4","2606.00","2888.00"
"22/02/2017 04:00 - 22/02/2017 05:00","BZN|SE4","2603.00","2930.00"
"22/02/2017 05:00 - 22/02/2017 06:00","BZN|SE4","2755.00","3093.00"
"22/02/2017 06:00 - 22/02/2017 07:00","BZN|SE4","3095.00","3478.00"
"22/02/2017 07:00 - 22/02/2017 08:00","BZN|SE4","3339.00","3823.00"
"22/02/2017 08:00 - 22/02/2017 09:00","BZN|SE4","3416.00","3908.00"
"22/02/2017 09:00 - 22/02/2017 10:00","BZN|SE4","3448.00","3882.00"
"22/02/2017 10:00 - 22/02/2017 11:00","BZN|SE4","3460.00","3877.00"
"22/02/2017 11:00 - 22/02/2017 12:00","BZN|SE4","3421.00","3848.00"
"22/02/2017 12:00 - 22/02/2017 13:00","BZN|SE4","3395.00","3773.00"
"22/02/2017 13:00 - 22/02/2017 14:00","BZN|SE4","3394.00","3751.00"
"22/02/2017 14:00 - 22/02/2017 15:00","BZN|SE4","3400.00","3725.00"
"22/02/2017 15:00 - 22/02/2017 16:00","BZN|SE4","3468.00","3728.00"
"22/02/2017 16:00 - 22/02/2017 17:00","BZN|SE4","3471.00","3698.00"
"22/02/2017 17:00 - 22/02/2017 18:00","BZN|SE4","3610.00","3829.00"
"22/02/2017 18:00 - 22/02/2017 19:00","BZN|SE4","3636.00","3886.00"
"22/02/2017 19:00 - 22/02/2017 20:00","BZN|SE4","3561.00","3810.00"
"22/02/2017 20:00 - 22/02/2017 21:00","BZN|SE4","3425.00","3676.00"
"22/02/2017 21:00 - 22/02/2017 22:00","BZN|SE4","3302.00","3505.00"
"22/02/2017 22:00 - 22/02/2017 23:00","BZN|SE4","3109.00","3298.00"
"22/02/2017 23:00 - 23/02/2017 00:00","BZN|SE4","2934.00","3078.00"
"23/02/2017 00:00 - 23/02/2017 01:00","BZN|SE4","2833.00","2923.00"
"23/02/2017 01:00 - 23/02/2017 02:00","BZN|SE4","2764.00","2862.00"
"23/02/2017 02:00 - 23/02/2017 03:00","BZN|SE4","2752.00","2836.00"
"23/02/2017 03:00 - 23/02/2017 04:00","BZN|SE4","2720.00","2835.00"
