"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2017 14:00 - 03/01/2017 15:00","BZN|SE4","4132.00","4028.00"
"03/01/2017 15:00 - 03/01/2017 16:00","BZN|SE4","4108.00","4084.00"
"03/01/2017 16:00 - 03/01/2017 17:00","BZN|SE4","4016.00","4178.00"
"03/01/2017 17:00 - 03/01/2017 18:00","BZN|SE4","4020.00","4172.00"
"03/01/2017 18:00 - 03/01/2017 19:00","BZN|SE4","3841.00","4053.00"
"03/01/2017 19:00 - 03/01/2017 20:00","BZN|SE4","3786.00","3901.00"
"03/01/2017 20:00 - 03/01/2017 21:00","BZN|SE4","3636.00","3705.00"
"03/01/2017 21:00 - 03/01/2017 22:00","BZN|SE4","3428.00","3489.00"
"03/01/2017 22:00 - 03/01/2017 23:00","BZN|SE4","3296.00","3303.00"
"03/01/2017 23:00 - 04/01/2017 00:00","BZN|SE4","3136.00","3129.00"
"04/01/2017 00:00 - 04/01/2017 01:00","BZN|SE4","2983.00","2956.00"
"04/01/2017 01:00 - 04/01/2017 02:00","BZN|SE4","2883.00","2930.00"
"04/01/2017 02:00 - 04/01/2017 03:00","BZN|SE4","2815.00","2927.00"
"04/01/2017 03:00 - 04/01/2017 04:00","BZN|SE4","2825.00","2937.00"
"04/01/2017 04:00 - 04/01/2017 05:00","BZN|SE4","2926.00","2961.00"
"04/01/2017 05:00 - 04/01/2017 06:00","BZN|SE4","3128.00","3073.00"
"04/01/2017 06:00 - 04/01/2017 07:00","BZN|SE4","3441.00","3371.00"
"04/01/2017 07:00 - 04/01/2017 08:00","BZN|SE4","3758.00","3744.00"
"04/01/2017 08:00 - 04/01/2017 09:00","BZN|SE4","3928.00","3906.00"
"04/01/2017 09:00 - 04/01/2017 10:00","BZN|SE4","4101.00","3929.00"
"04/01/2017 10:00 - 04/01/2017 11:00","BZN|SE4","4215.00","4013.00"
"04/01/2017 11:00 - 04/01/2017 12:00","BZN|SE4","4178.00","4035.00"
"04/01/2017 12:00 - 04/01/2017 13:00","BZN|SE4","4120.00","4020.00"
"04/01/2017 13:00 - 04/01/2017 14:00","BZN|SE4","4177.00","3988.00"
"04/01/2017 14:00 - 04/01/2017 15:00","BZN|SE4","4173.00","3999.00"
"04/01/2017 15:00 - 04/01/2017 16:00","BZN|SE4","4170.00","4077.00"
"04/01/2017 16:00 - 04/01/2017 17:00","BZN|SE4","4239.00","4215.00"
"04/01/2017 17:00 - 04/01/2017 18:00","BZN|SE4","4280.00","4260.00"
"04/01/2017 18:00 - 04/01/2017 19:00","BZN|SE4","4232.00","4186.00"
"04/01/2017 19:00 - 04/01/2017 20:00","BZN|SE4","4182.00","4087.00"
