utc_time,Denmark,Sweden,Finland,Norway
2015-01-01T00:00:00Z,396.1748977475409,747.1667955737706,464.18472575409834,430.7975480778689
2015-01-01T01:00:00Z,267.3704302940281,504.2477672607897,313.26888847934094,290.73655714701823
2015-01-01T02:00:00Z,202.60674959601872,382.1065815071931,237.3874746528939,220.3130270146788
2015-01-01T03:00:00Z,194.28564188337234,366.4133727233189,227.63791423519572,211.2647182493309
2015-01-01T04:00:00Z,245.7076515990632,463.39280892606234,287.8873434981599,267.18061758748746
2015-01-01T05:00:00Z,471.09871243911,888.4695051940449,551.9704248803948,512.2691300616846
2015-01-01T06:00:00Z,971.5970736475409,1832.385333430914,1138.3874236826698,1056.5072129171547
2015-01-01T07:00:00Z,1619.2071237353628,3053.7467287554373,1897.1702118016058,1760.71341900092
2015-01-01T08:00:00Z,2035.8298787189694,3839.4771992472406,2385.3130001622617,2213.745810353379
2015-01-01T09:00:00Z,2067.5984964203744,3899.3912837152902,2422.535214843593,2248.2907618114336
2015-01-01T10:00:00Z,1837.7675320749413,3465.94114305788,2153.250048718635,1998.374332286718
2015-01-01T11:00:00Z,1692.4580904929742,3191.8945276597533,1982.9958915933423,1840.3659589597278
2015-01-01T12:00:00Z,1656.3191822646368,3123.7382855302785,1940.653155341251,1801.0687870705085
2015-01-01T13:00:00Z,1703.7855227775174,3213.2575199397797,1996.2678608129806,1852.6833220282704
2015-01-01T14:00:00Z,1785.1665283899297,3366.7381809551703,2091.6192321052195,1941.1764039404904
2015-01-01T15:00:00Z,1921.9549721768149,3624.7146044914693,2251.889624365172,2089.919109558172
2015-01-01T16:00:00Z,2110.942277176815,3981.1355687771843,2473.3196565080293,2295.4224568796008
2015-01-01T17:00:00Z,2267.5700554121777,4276.5280225326205,2656.8351258096354,2465.73830275552
2015-01-01T18:00:00Z,2216.168643197892,4179.587432226498,2596.6098299422883,2409.844800982561
2015-01-01T19:00:00Z,1878.5567550620608,3542.86765507695,2201.041401461191,2042.7282208110994
2015-01-01T20:00:00Z,1429.9245151498828,2696.768836115758,1675.3941824372698,1554.888960823436
2015-01-01T21:00:00Z,1023.708399056206,1930.664785864838,1199.4445008246905,1113.1726688578956
2015-01-01T22:00:00Z,761.4520537517565,1436.0619368350622,892.1676127266645,827.9971285413184
2015-01-01T23:00:00Z,568.3360638489461,1071.8544714703917,665.9001401497156,618.0042808930663
2015-01-02T00:00:00Z,409.16399398384067,771.6636061174307,479.4036104146872,444.92179179487283
2015-01-02T01:00:00Z,279.2793909026932,526.7074939804284,327.2222147642188,303.6862696591879
2015-01-02T02:00:00Z,213.39937177974238,402.46094766895294,250.03282496913684,232.0488416776305
2015-01-02T03:00:00Z,199.24354566604214,375.763740712613,233.4469223797257,216.65590483213452
2015-01-02T04:00:00Z,247.63179567377048,467.0216520725997,290.14179801990633,269.27291711036304
2015-01-02T05:00:00Z,474.1471993645199,894.2188048603215,555.5422338856641,515.5840313850159
2015-01-02T06:00:00Z,984.7313525807962,1857.1559515557046,1153.7764139979927,1070.78932718635
2015-01-02T07:00:00Z,1647.2779598770492,3106.686975117097,1930.0598609192039,1791.2374311255855
2015-01-02T08:00:00Z,2075.682963622951,3914.638199882905,2432.0075115807963,2257.081749499415
2015-01-02T09:00:00Z,2112.0045628606554,3983.138988466043,2474.564300708431,2296.5775781923303
2015-01-02T10:00:00Z,1869.988352295082,3526.7080597189706,2191.002093793911,2033.411005298595
2015-01-02T11:00:00Z,1732.1724339320842,3266.793868568084,2029.5278443308798,1883.5510316999835
2015-01-02T12:00:00Z,1710.7068953700234,3226.3108956339925,2004.3773989411177,1860.2095695495989
2015-01-02T13:00:00Z,1770.6101853477749,3339.2856183422555,2074.564057379558,1925.347948055997
2015-01-02T14:00:00Z,1855.345809997658,3499.0929294580133,2173.8459223168284,2017.4888170044333
2015-01-02T15:00:00Z,1991.6297219578453,3756.1178302442295,2333.525171702911,2165.682898579793
2015-01-02T16:00:00Z,2172.0153828103043,4096.316507527602,2544.876948377384,2361.83288396621
2015-01-02T17:00:00Z,2335.7057144601868,4405.0285972147885,2736.667372600368,2539.8284963075025
2015-01-02T18:00:00Z,2286.730519752927,4312.663736391771,2679.2847937111073,2486.5732448605304
2015-01-02T19:00:00Z,1957.3253882822014,3691.4215074523263,2293.33194439361,2128.3806290015477
2015-01-02T20:00:00Z,1515.7310170222481,2858.5957701488796,1775.9307579901306,1648.1942934578876
2015-01-02T21:00:00Z,1101.8587861920373,2078.0526558715296,1291.0106657343592,1198.1528009936435
2015-01-02T22:00:00Z,825.4451864742388,1556.7499061809972,967.1462015565406,897.5827707094764
2015-01-02T23:00:00Z,617.034356881733,1163.6971090582138,722.9582827141185,670.9584315810054
